lon_orig,lat_orig,lon_dest,lat_dest,req_time
13.256112,52.506813,13.218377,52.508906,4
13.343076,52.526348,13.370703,52.515884,4
13.333238,52.584857,13.294994,52.532294,7
13.341845,52.432301,13.303409,52.432291,8
13.565013,52.565518,13.575615,52.558062,19
13.458525,52.550306,13.44181,52.546368,20
13.337567,52.411436,13.355668,52.44478,23
13.379073,52.572361,13.36021,52.560573,23
13.285159,52.514472,13.341876,52.492318,24
13.599824,52.452125,13.557483,52.445771,26
13.490326,52.501576,13.543172,52.520203,28
13.403585,52.537158,13.348795,52.53891,29
13.601603,52.443995,13.569374,52.442656,31
13.384287,52.53841,13.369666,52.540314,31
13.359688,52.525097,13.326801,52.527574,35
13.328835,52.485123,13.345185,52.485926,35
13.314726,52.592389,13.330546,52.527136,37
13.285339,52.461599,13.281823,52.463138,37
13.393933,52.554905,13.415108,52.538458,42
13.302034,52.581439,13.332136,52.595214,45
13.455828,52.522272,13.344328,52.526324,47
13.315812,52.463609,13.322516,52.497272,47
13.292796,52.600889,13.294804,52.576405,48
13.318201,52.49626,13.295684,52.493193,48
13.373168,52.413985,13.394164,52.419805,48
13.358779,52.543855,13.33488,52.547605,49
13.590212,52.437264,13.62817,52.45767,50
13.448793,52.488045,13.423253,52.50686,51
13.567412,52.528989,13.591614,52.511194,56
13.26396,52.516489,13.341386,52.575293,57
13.388279,52.58409,13.41978,52.608736,57
13.200593,52.545935,13.196523,52.537789,57
13.289289,52.506581,13.354908,52.527309,59
13.343619,52.520473,13.328107,52.525924,61
13.472278,52.494738,13.427881,52.467431,61
13.367858,52.50258,13.392548,52.510695,61
13.422867,52.499918,13.43693,52.53194,61
13.434573,52.499857,13.461421,52.544717,62
13.538662,52.451005,13.535712,52.430489,64
13.438378,52.45314,13.453421,52.449828,66
13.208009,52.547594,13.305801,52.469391,66
13.342255,52.46705,13.385156,52.455995,67
13.183782,52.504126,13.214726,52.508962,68
13.340289,52.475485,13.330839,52.465211,68
13.453766,52.546824,13.471631,52.537957,69
13.179852,52.526723,13.165116,52.535577,71
13.480313,52.44945,13.470757,52.429311,72
13.527772,52.510338,13.526439,52.481245,72
13.280919,52.538855,13.376881,52.403417,72
13.392714,52.46564,13.403217,52.439632,73
13.423543,52.549043,13.425984,52.558873,79
13.323883,52.495235,13.379539,52.516267,81
13.284296,52.476295,13.299365,52.487203,81
13.231264,52.545745,13.248566,52.550255,83
13.161806,52.523549,13.243002,52.546917,88
13.427668,52.468117,13.421077,52.481866,89
13.323139,52.491549,13.322481,52.506395,94
13.184077,52.51071,13.473963,52.425811,95
13.136653,52.551401,13.142156,52.537356,95
